WorkOrderOpStatusDeveloperName__c,Process__c,WorkOrderErrorCode__c,CaseType__c,CaseCategory__c,CaseSubcategory__c,CaseRecordTypeDeveloperName__c
"Acquired KO","ActivationPhase3","A09","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"Acquired KO","ActivationPhase3","A10","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"Acquired KO","ActivationPhase3","A11","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"Acquired KO","ActivationPhase3","B00","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B01","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B02","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B03","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B04","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B05","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Accepted KO","ActivationPhase3","C14","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Accepted KO","ActivationPhase3","D18","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Accepted KO","ActivationPhase3","C25","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","B08","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Acquired KO","ActivationPhase3","B09","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"Completed KO","ActivationPhase3","C01","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C02","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C03","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C04","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C06","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C15","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","D17","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Completed KO","ActivationPhase3","C24","Provisioning","Activation","Reworkable Activation KO","OpenFiberKOIssue"
"Suspended","ActivationPhase3","D11","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","B06","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","C05","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","C09","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","C10","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","C11","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","C13","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D02","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D03","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D04","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D05","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D06","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D07","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D08","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D09","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D10","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D25","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D26","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D27","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","B14","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"Suspended","ActivationPhase3","D28","Provisioning","Activation","Reworkable Activation KO","OpenFiberSuspensionIssue"
"ActivationPhase3","A00","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A01","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A02","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A03","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A04","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A05","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A06","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A07","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A08","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A12","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A13","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A14","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A15","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A16","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"
"ActivationPhase3","A17","Provisioning","Activation","Reworkable Activation KO","OpenFiberBugITIssue"